"","CO2","year","pais","avgAA","no.emig","exports","imports","pop","remit","aid","inflation","unempl","GDP","avgPop","propEmig"
"118","ESP",2001,"spain",NA,79317,5060745079,7044178441,NA,NA,0,3.59110087564774,10.3479995727539,4.00106922543372,37418,0.00211975519803303
"119","ESP",2002,"spain",2.15797101449275,76773,5467988659,6819890351,NA,NA,0,3.06677727084195,11.1459999084473,2.87976212105769,37418,0.00205176652947779
"120","ESP",2003,"spain",NA,78690,6429120795,7721625067,NA,NA,0,3.03988488009918,11.2829999923706,3.18757147564497,37418,0.0021029985568443
"121","ESP",2004,"spain",NA,85930,7218302491,9323713420,NA,NA,0,3.03748621830208,11.0900001525879,3.16674650061206,37418,0.00229648832112887
"122","ESP",2006,"spain",2.22150139017609,85491,9453809655,10789955103,NA,NA,0,3.51537491125932,8.45199966430664,4.17411911565355,37418,0.0022847559997862
"123","ESP",2007,"spain",2.28177058543551,82165,10208026191,13802830205,NA,NA,0,2.78703047313632,8.23200035095215,3.76889526311305,37418,0.00219586829867978
"124","ESP",2008,"spain",2.42045987799155,80295,11134348600,16709311577,NA,NA,0,4.07566076368221,11.2550001144409,1.11597275474762,37418,0.00214589235127479
"125","ESP",2009,"spain",2.77803629595161,81533,7963358620,11816251381,NA,NA,0,-0.28799683500196,17.8570003509521,-3.57381203047768,37418,0.00217897803196323
"126","ESP",2010,"spain",2.71290478492025,84669,8665410777,12572256379,37418,NA,0,1.79988133046938,19.8600006103516,0.013786543593227,37418,0.00226278796301245
"127","GTM",1996,"guatemala",3.16934046345811,349505,746701696,1409370240,NA,NA,-1e+06,11.0569165321989,3.74799990653992,2.95777989859651,7232,0.0483275719026549
"128","GTM",1997,"guatemala",3.65882352941176,454803,841222784,1613563264,NA,NA,3.5e+07,9.23290294884919,2.57500004768372,4.3640899320559,7232,0.0628875829646018
"129","GTM",1998,"guatemala",4.02365591397849,474348,841759744,1962756224,NA,NA,33050000,6.61346070518056,2.52300000190735,4.99352782331637,7232,0.0655901548672566
"130","GTM",2000,"guatemala",3.08236658932715,460995,974733056,1939390464,6244,NA,57960000,5.97757734737144,1.39999997615814,3.60886874513247,7232,0.0637437776548673
"131","GTM",2001,"guatemala",3.01574803149606,443116,645058624,1969734400,NA,NA,63600000,7.28587366610138,1.29999995231628,2.33257418287644,7232,0.0612715707964602
"132","GTM",2002,"guatemala",3.10706638115632,510030,675006912,2199324160,NA,NA,64730000,8.13263054281045,3.13000011444092,3.86662650506631,7232,0.0705240597345133
"133","GTM",2003,"guatemala",3.01820388349515,523746,790886528,2944075264,NA,NA,67940000,5.60347675434471,3.40000009536743,2.53078994772957,7232,0.0724206305309734
"134","GTM",2004,"guatemala",3.004662004662,585201,860669418,3198685021,NA,NA,53540000,7.57862247309733,3.13000011444092,3.15208187177201,7232,0.0809182798672566
"135","GTM",2005,"guatemala",2.97540106951872,644669,2694229471,3558260926,7154,NA,38360000,9.10864985719213,2.47699999809265,3.26011101093661,7232,0.0891411780973451
"136","GTM",2006,"guatemala",2.917225950783,740986,1004967351,3698168680,NA,NA,67250000,6.56085282795407,1.79999995231628,5.3797767642231,7232,0.102459347345133
"137","GTM",2007,"guatemala",2.87939110070258,683807,2934363046,4728229348,NA,NA,45710000,6.82161753590302,2.5,6.30405653777618,7232,0.0945529590707965
"138","GTM",2008,"guatemala",2.70036101083033,743786,3048511642,5334624361,NA,NA,70350000,11.3557611263155,2.79200005531311,3.28107981555104,7232,0.102846515486726
"139","GTM",2009,"guatemala",2.93259803921569,790508,2953261317,4174414565,NA,NA,83890000,1.85910254733008,3.0789999961853,0.526043017746275,7232,0.109306969026549
"140","GTM",2010,"guatemala",2.82232346241458,797262,3283734538,5125631524,8298,NA,100500000,3.85950909833189,3.74000000953674,2.86948773712759,7232,0.110240873893805
"141","GTM",2011,"guatemala",2.85840707964602,844332,4224787668,6510430000,NA,NA,93080000,6.2153417631224,4.13000011444092,4.16204894619231,7232,0.116749446902655
"142","HND",1996,"honduras",3.75536480686695,194399,705977216,933216256,NA,NA,2.7e+07,23.8378353073359,4.36999988555908,3.59524972372158,4403.66666666667,0.0441448035727803
"143","HND",1997,"honduras",4.09209100758397,215555,956051456,1204381696,NA,NA,2.8e+07,20.1998667554963,3.3199999332428,4.9937186080496,4403.66666666667,0.0489489819090152
"144","HND",1998,"honduras",4.22148394241418,187387,898494784,1353002752,NA,NA,49180000,13.6681077485866,4.01999998092651,2.90158541571776,4403.66666666667,0.0425524941336765
"145","HND",2000,"honduras",3.34796926454446,296196,533280928,1151590144,3743,NA,110290000,11.0480349344975,3.8659999370575,5.74814817447076,4403.66666666667,0.0672612217091817
"146","HND",2001,"honduras",3.21192758253461,258627,483466304,962864128,NA,NA,201260000,9.66574911521859,4.09999990463257,2.72319327321382,4403.66666666667,0.0587299220346681
"147","HND",2002,"honduras",3.3765690376569,290514,466393222,1180158569,NA,NA,97250000,7.69886529455508,3.90000009536743,3.75433786119939,4403.66666666667,0.0659709333131481
"148","HND",2003,"honduras",3.17073170731707,295746,435186444,1250112543,NA,NA,70110000,7.67416639397921,5.19999980926514,4.54703805165396,4403.66666666667,0.0671590341382182
"149","HND",2004,"honduras",3.14551422319475,308363,526275971,1363433034,NA,NA,112080000,8.11379097093377,6,6.23230296069099,4403.66666666667,0.0700241465445462
"150","HND",2005,"honduras",3.24195223260644,387002,538618108,1628231558,4381,NA,88380000,8.80906074819819,4.19999980926514,6.05059922215976,4403.66666666667,0.0878817651956703
"151","HND",2006,"honduras",3.08130939809926,399371,981604275,2218509898,NA,NA,84100000,5.57775207654298,3.09999990463257,6.56724355177587,4403.66666666667,0.0906905608962228
"152","HND",2007,"honduras",3.05729166666667,422674,1023036674,2611705769,NA,NA,71100000,6.93621470895781,2.90000009536743,6.18832716678008,4403.66666666667,0.0959822874876996
"153","HND",2009,"honduras",3.17099567099567,459393,1059557684,2112564874,NA,NA,128760000,5.49202527836295,3.29999995231628,-2.43162787988014,4403.66666666667,0.104320566194838
"154","HND",2010,"honduras",3.24672489082969,518438,1208216557,2653454429,5087,NA,100840000,4.70054992947605,4.80000019073486,3.73114034433009,4403.66666666667,0.117728710922716
"155","HND",2011,"honduras",3.16374871266735,499987,1239533062,3670457949,NA,NA,46360000,6.76227957314734,4.40000009536743,3.83569066207508,4403.66666666667,0.113538793429718
"156","MEX",1995,"mexico",3.43497363796134,6960895,66338807808,53973135360,59036,NA,3e+06,34.9992750012079,6.88500022888184,-5.75868237989781,70223.25,0.099125218499571
"157","MEX",1996,"mexico",2.82954545454545,6894788,79771336704,67615404032,NA,NA,2.6e+07,34.3776581888577,5.24900007247925,5.87476668289335,70223.25,0.0981838351258308
"158","MEX",1997,"mexico",3.33228511530398,7298244,93018726400,83214057472,NA,NA,8e+06,20.6264843287042,4.05499982833862,6.96288880136974,70223.25,0.10392916875821
"159","MEX",1998,"mexico",3.30035971223022,7382352,101926633472,93306937344,NA,NA,7990000,15.9279950341401,3.57299995422363,4.70184241601579,70223.25,0.105126891734575
"160","MEX",2000,"mexico",2.92425695110259,8881831,146599589178,127689976239,66378,NA,23810000,9.49501913873587,2.56399989128113,5.29647383846377,70223.25,0.126479919399914
"161","MEX",2001,"mexico",2.84672131147541,9287675,136373541736,114059681973,NA,NA,41820000,6.36250034835955,2.53800010681152,-0.605492390087392,70223.25,0.132259258863695
"162","MEX",2002,"mexico",2.70692567567568,9889017,137963057176,106899862231,NA,NA,83970000,5.03108953086285,2.86400008201599,0.131917168641934,70223.25,0.140822548087706
"163","MEX",2003,"mexico",2.22861981371719,10078724,144696717331,105723446925,NA,NA,57490000,4.548137924153,2.96399998664856,1.42267124240306,70223.25,0.143524032282755
"164","MEX",2004,"mexico",2.23469387755102,10256938,166533178158,111262254142,NA,NA,42770000,4.68828287166274,3.66000008583069,4.2957142512237,70223.25,0.146061852733959
"165","MEX",2005,"mexico",2.50556983718937,10993851,183837712957,118973101839,73868,NA,128400000,3.98806073557596,3.55800008773804,3.03257365857694,70223.25,0.156555713385524
"166","MEX",2006,"mexico",2.51903435468895,11534972,212131772801,130809817420,NA,NA,153520000,3.62946322575936,3.56599998474121,4.94451434826912,70223.25,0.164261437629275
"167","MEX",2007,"mexico",2.67795138888889,11739560,223387835367,139930555055,NA,NA,83610000,3.96684962911701,3.64499998092651,3.20412301672219,70223.25,0.167174831697479
"168","MEX",2008,"mexico",2.583552055993,11451299,233793947984,151746429617,NA,NA,102530000,5.12498169213462,3.90400004386902,1.40029037023363,70223.25,0.1630699091825
"169","MEX",2009,"mexico",2.80221811460259,11478234,185448518572,112788739681,NA,NA,129430000,5.29735712654755,5.37900018692017,-4.70033886285106,70223.25,0.163453471606626
"170","MEX",2010,"mexico",2.55657773689052,11746539,238858911632,145450398186,81611,NA,205030000,4.15672783717606,5.3289999961853,5.11019848994358,70223.25,0.167274214736572
"171","MEX",2011,"mexico",2.79246935201401,11691630,274720112774,174878466067,NA,NA,372110000,3.40737961671249,5.19399976730347,4.04461387888595,70223.25,0.166492294218795
"172","NIC",1996,"nicaragua",3.69084423305589,242289,296277248,365209376,NA,NA,3e+07,11.6188717697548,14.8999996185303,6.34426830436543,3368.33333333333,0.0719314200890648
"173","NIC",1997,"nicaragua",4.22895277207392,242222,305378368,549133696,NA,NA,4.1e+07,9.22471229557843,13.3000001907349,3.96665097334412,3368.33333333333,0.0719115289460663
"174","NIC",1998,"nicaragua",3.97194163860831,173676,210811856,466785856,NA,NA,65480000,13.0384418689196,13.1999998092651,3.71168144753786,3368.33333333333,0.0515614052449282
"175","NIC",2000,"nicaragua",3.17139175257732,194609,247065280,418239872,2875,NA,72770000,9.873,9.80000019073486,4.10159015301244,3368.33333333333,0.0577760514596734
"176","NIC",2001,"nicaragua",3.28199791883455,214732,156093680,477413312,NA,NA,100560000,5.98604186279516,6.40000009536743,2.96084352899635,3368.33333333333,0.0637502226620485
"177","NIC",2002,"nicaragua",3.21361256544503,221883,184594112,496610272,NA,NA,66720000,3.75017465778472,12.1999998092651,0.753938940955962,3368.33333333333,0.0658732310737259
"178","NIC",2003,"nicaragua",2.95955056179775,228086,220909078,507436521,NA,NA,69630000,5.30238773219939,8,2.52073293609504,3368.33333333333,0.0677147946561108
"179","NIC",2004,"nicaragua",2.88027366020525,194768,293166950,499129940,NA,NA,69650000,8.47021063584074,6.69999980926514,5.31217052021333,3368.33333333333,0.0578232558139535
"180","NIC",2005,"nicaragua",2.92906976744186,223931,306774670,525364150,3350,NA,102610000,9.59909986064426,5.59999990463257,4.28239830528729,3368.33333333333,0.0664812469074716
"181","NIC",2006,"nicaragua",3.1384778012685,236445,353021088,624743842,NA,NA,67530000,9.14019966777714,5.30000019073486,4.15206956048218,3368.33333333333,0.0701964374072241
